date,total_articles,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,dominant_sentiment,avg_sentiment_lag_1d,avg_sentiment_lag_2d,avg_sentiment_lag_3d,avg_sentiment_lag_7d,avg_sentiment_lag_14d,total_articles_lag_1d,total_articles_lag_2d,total_articles_lag_3d,total_articles_lag_7d,total_articles_lag_14d,avg_sentiment_rolling_mean_3d,avg_sentiment_rolling_std_3d,avg_sentiment_rolling_min_3d,avg_sentiment_rolling_max_3d,avg_sentiment_rolling_median_3d,avg_sentiment_rolling_mean_7d,avg_sentiment_rolling_std_7d,avg_sentiment_rolling_min_7d,avg_sentiment_rolling_max_7d,avg_sentiment_rolling_median_7d,avg_sentiment_rolling_mean_14d,avg_sentiment_rolling_std_14d,avg_sentiment_rolling_min_14d,avg_sentiment_rolling_max_14d,avg_sentiment_rolling_median_14d,avg_sentiment_rolling_mean_30d,avg_sentiment_rolling_std_30d,avg_sentiment_rolling_min_30d,avg_sentiment_rolling_max_30d,avg_sentiment_rolling_median_30d,total_articles_rolling_mean_3d,total_articles_rolling_std_3d,total_articles_rolling_min_3d,total_articles_rolling_max_3d,total_articles_rolling_median_3d,total_articles_rolling_mean_7d,total_articles_rolling_std_7d,total_articles_rolling_min_7d,total_articles_rolling_max_7d,total_articles_rolling_median_7d,total_articles_rolling_mean_14d,total_articles_rolling_std_14d,total_articles_rolling_min_14d,total_articles_rolling_max_14d,total_articles_rolling_median_14d,total_articles_rolling_mean_30d,total_articles_rolling_std_30d,total_articles_rolling_min_30d,total_articles_rolling_max_30d,total_articles_rolling_median_30d,day_of_week,is_weekend,day_of_month,week_of_year,month,quarter,is_month_start,is_month_end,is_holiday_hr,days_since_weekend,days_until_weekend,sentiment_momentum_1d,sentiment_momentum_7d,sentiment_acceleration,sentiment_trend,sentiment_trend_streak,volume_change_1d,volume_change_7d,volume_pct_change_1d,volume_acceleration,volume_trend,volume_spike,sentiment_spike,spike_label
2025-10-30,32,0.375,0.6599120175960898,-1,1,positive,,,,,,,,,,,0.375,0.0,0.375,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.375,0.0,0.375,0.375,0.375,32.0,0.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,3,0,30,44,10,4,0,0,0,3,2,,,,0.0,1.0,,,0.0,,0.0,1,0,1
2025-10-31,35,0.3142857142857143,0.8321279798143529,-1,1,positive,0.375,,,,,32.0,,,,,0.34464285714285714,0.04293148314346896,0.3142857142857143,0.375,0.34464285714285714,0.34464285714285714,0.04293148314346896,0.3142857142857143,0.375,0.34464285714285714,0.34464285714285714,0.04293148314346896,0.3142857142857143,0.375,0.34464285714285714,0.34464285714285714,0.04293148314346896,0.3142857142857143,0.375,0.34464285714285714,33.5,2.1213203435596424,32.0,35.0,33.5,33.5,2.1213203435596424,32.0,35.0,33.5,33.5,2.1213203435596424,32.0,35.0,33.5,33.5,2.1213203435596424,32.0,35.0,33.5,4,0,31,44,10,4,0,1,0,4,1,-0.06071428571428572,,,-1.0,1.0,3.0,,0.09375,,1.0,1,0,1
2025-11-01,54,0.3888888888888889,0.7375806106675421,-1,1,positive,0.3142857142857143,0.375,,,,35.0,32.0,,,,0.3593915343915344,0.039675263883255145,0.3142857142857143,0.3888888888888889,0.375,0.3593915343915344,0.039675263883255145,0.3142857142857143,0.3888888888888889,0.375,0.3593915343915344,0.039675263883255145,0.3142857142857143,0.3888888888888889,0.375,0.3593915343915344,0.039675263883255145,0.3142857142857143,0.3888888888888889,0.375,40.333333333333336,11.930353445448853,32.0,54.0,35.0,40.333333333333336,11.930353445448853,32.0,54.0,35.0,40.333333333333336,11.930353445448853,32.0,54.0,35.0,40.333333333333336,11.930353445448853,32.0,54.0,35.0,5,1,1,44,11,4,1,0,1,0,0,0.07460317460317462,,0.13531746031746034,1.0,1.0,19.0,,0.5428571428571429,16.0,1.0,1,0,1
2025-11-02,16,-0.1875,0.8341662504161466,-1,1,negative,0.3888888888888889,0.3142857142857143,0.375,,,54.0,35.0,32.0,,,0.17189153439153437,0.31346947962990596,-0.1875,0.3888888888888889,0.3142857142857143,0.22266865079365078,0.2753579584953962,-0.1875,0.3888888888888889,0.34464285714285714,0.22266865079365078,0.2753579584953962,-0.1875,0.3888888888888889,0.34464285714285714,0.22266865079365078,0.2753579584953962,-0.1875,0.3888888888888889,0.34464285714285714,35.0,19.0,16.0,54.0,35.0,34.25,15.58578412100805,16.0,54.0,33.5,34.25,15.58578412100805,16.0,54.0,33.5,34.25,15.58578412100805,16.0,54.0,33.5,6,1,2,44,11,4,0,0,0,0,0,-0.5763888888888888,,-0.6509920634920634,-1.0,1.0,-38.0,,-0.7037037037037037,-57.0,-1.0,0,1,1
2025-11-03,29,0.1724137931034483,0.7105815283093027,-1,1,neutral,-0.1875,0.3888888888888889,0.3142857142857143,,,16.0,54.0,35.0,,,0.12460089399744573,0.2911538988221393,-0.1875,0.3888888888888889,0.1724137931034483,0.21261767925561031,0.23952372351054654,-0.1875,0.3888888888888889,0.3142857142857143,0.21261767925561031,0.23952372351054654,-0.1875,0.3888888888888889,0.3142857142857143,0.21261767925561031,0.23952372351054654,-0.1875,0.3888888888888889,0.3142857142857143,33.0,19.313207915827967,16.0,54.0,29.0,33.2,13.700364958642526,16.0,54.0,32.0,33.2,13.700364958642526,16.0,54.0,32.0,33.2,13.700364958642526,16.0,54.0,32.0,0,0,3,45,11,4,0,0,0,0,5,0.3599137931034483,,0.9363026819923371,1.0,1.0,13.0,,0.8125,51.0,1.0,1,0,1
2025-11-04,19,0.21052631578947367,0.5353033790313108,-1,1,neutral,0.1724137931034483,-0.1875,0.3888888888888889,,,29.0,16.0,54.0,,,0.06514670296430732,0.21962674811011612,-0.1875,0.21052631578947367,0.1724137931034483,0.21226911867792086,0.21423823250377907,-0.1875,0.3888888888888889,0.262406015037594,0.21226911867792086,0.21423823250377907,-0.1875,0.3888888888888889,0.262406015037594,0.21226911867792086,0.21423823250377907,-0.1875,0.3888888888888889,0.262406015037594,21.333333333333332,6.8068592855540455,16.0,29.0,19.0,30.833333333333332,13.556056457047776,16.0,54.0,30.5,30.833333333333332,13.556056457047776,16.0,54.0,30.5,30.833333333333332,13.556056457047776,16.0,54.0,30.5,1,0,4,45,11,4,0,0,0,1,4,0.038112522686025385,,-0.3218012704174229,1.0,2.0,-10.0,,-0.3448275862068966,-23.0,-1.0,0,0,0
2025-11-05,13,0.15384615384615385,0.6887372317211945,-1,1,neutral,0.21052631578947367,0.1724137931034483,-0.1875,,,19.0,29.0,16.0,,,0.1789287542463586,0.028896258036300505,0.15384615384615385,0.21052631578947367,0.1724137931034483,0.20392298084481128,0.19681452268330607,-0.1875,0.3888888888888889,0.21052631578947367,0.20392298084481128,0.19681452268330607,-0.1875,0.3888888888888889,0.21052631578947367,0.20392298084481128,0.19681452268330607,-0.1875,0.3888888888888889,0.21052631578947367,20.333333333333332,8.082903768654761,13.0,29.0,19.0,28.285714285714285,14.09153748075165,13.0,54.0,29.0,28.285714285714285,14.09153748075165,13.0,54.0,29.0,28.285714285714285,14.09153748075165,13.0,54.0,29.0,2,0,5,45,11,4,0,0,0,2,3,-0.05668016194331982,,-0.0947926846293452,-1.0,1.0,-6.0,,-0.3157894736842105,4.0,-1.0,0,0,0
2025-11-06,18,0.3333333333333333,0.6859943405700353,-1,1,neutral,0.15384615384615385,0.21052631578947367,0.1724137931034483,0.375,,13.0,19.0,29.0,32.0,,0.23256860098965362,0.09175134142180318,0.15384615384615385,0.3333333333333333,0.21052631578947367,0.19797059989243035,0.1913319171011066,-0.1875,0.3888888888888889,0.21052631578947367,0.22009927490587655,0.18787130756723136,-0.1875,0.3888888888888889,0.262406015037594,0.22009927490587655,0.18787130756723136,-0.1875,0.3888888888888889,0.262406015037594,16.666666666666668,3.214550253664316,13.0,19.0,18.0,26.285714285714285,14.465064646868857,13.0,54.0,19.0,27.0,13.543580450847237,13.0,54.0,24.0,27.0,13.543580450847237,13.0,54.0,24.0,3,0,6,45,11,4,0,0,0,3,2,0.17948717948717946,-0.041666666666666685,0.23616734143049928,1.0,1.0,5.0,-14.0,0.3846153846153846,11.0,1.0,0,0,0
2025-11-07,15,0.26666666666666666,0.7988086367179803,-1,1,positive,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.3142857142857143,,18.0,13.0,19.0,35.0,,0.2512820512820513,0.09072721032284166,0.15384615384615385,0.3333333333333333,0.26666666666666666,0.19116787880399497,0.18731142502260184,-0.1875,0.3888888888888889,0.21052631578947367,0.22527342954596433,0.17642171512401603,-0.1875,0.3888888888888889,0.26666666666666666,0.22527342954596433,0.17642171512401603,-0.1875,0.3888888888888889,0.26666666666666666,15.333333333333334,2.516611478423578,13.0,18.0,15.0,23.428571428571427,14.432107063270918,13.0,54.0,18.0,25.666666666666668,13.285330255586423,13.0,54.0,19.0,25.666666666666668,13.285330255586423,13.0,54.0,19.0,4,0,7,45,11,4,0,0,0,4,1,-0.06666666666666665,-0.047619047619047616,-0.2461538461538461,-1.0,1.0,-3.0,-20.0,-0.16666666666666663,-8.0,-1.0,0,0,0
2025-11-08,16,0.375,0.7187952884282609,-1,1,positive,0.26666666666666666,0.3333333333333333,0.15384615384615385,0.3888888888888889,,15.0,18.0,13.0,54.0,,0.325,0.05464532103584995,0.26666666666666666,0.375,0.3333333333333333,0.189183751819868,0.18492634267873373,-0.1875,0.375,0.21052631578947367,0.2402460865913679,0.1729396856480221,-0.1875,0.3888888888888889,0.29047619047619044,0.2402460865913679,0.1729396856480221,-0.1875,0.3888888888888889,0.29047619047619044,16.333333333333332,1.5275252316519405,15.0,18.0,16.0,18.0,5.22812904711938,13.0,29.0,16.0,24.7,12.89315063641674,13.0,54.0,18.5,24.7,12.89315063641674,13.0,54.0,18.5,5,1,8,45,11,4,0,0,0,0,0,0.10833333333333334,-0.013888888888888895,0.175,1.0,1.0,1.0,-38.0,0.06666666666666665,4.0,1.0,0,0,0
